index,common,construction,all,,,
389,21,0,21,,,
390,2,0,2,,,
391,2,0,2,,,
392,4,0,4,,,
393,1,0,1,,,
394,5,0,5,,,
395,6,0,6,,,
396,10,0,10,,,
397,11,0,11,,,
398,4,0,4,,,
399,3,0,3,,,
400,4,0,4,,,
401,7,0,7,,,
402,9,0,9,,,
403,3,0,3,,,
404,3,0,3,,,
405,7,0,7,,,
406,1,0,1,,,
407,12,0,12,,,
408,5,0,5,,,
409,4,0,4,,,
410,2,0,2,,,
411,4,0,4,,,
412,7,0,7,,,
413,1,0,1,,,
414,8,0,8,,,
415,3,0,3,,,
416,1,0,1,,,
417,1,0,1,,,
418,7,0,7,,,
419,2,0,2,,,
420,7,0,7,,,
421,2,0,2,,,
422,8,0,8,,,
423,9,0,9,,,
424,8,0,8,,,
425,1,0,1,,,
426,10,0,10,,,
427,18,0,18,,,
428,0,2,2,,,
429,3,0,3,,,
430,2,0,2,,,
431,3,0,3,,,
432,11,0,11,,,
433,2,0,2,,,
434,4,0,4,,,
435,7,0,7,,,
436,2,0,2,,,
437,3,0,3,,,
438,4,0,4,,,
439,5,0,5,,,
440,9,0,9,,,
441,3,0,3,,,
442,6,1,7,,,
443,4,0,4,,,
444,7,0,7,,,
445,3,0,3,,,
446,3,0,3,,,
447,2,0,2,,,
448,1,0,1,,,
449,5,0,5,,,
450,3,0,3,,,
451,12,0,12,,,
452,8,0,8,,,
453,3,0,3,,,
454,10,0,10,,,
455,6,0,6,,,
456,6,0,6,,,
457,3,1,4,,,
458,1,0,1,,,
459,5,0,5,,,
460,2,0,2,,,
461,8,0,8,,,
462,4,0,4,,,
463,6,0,6,,,
464,6,0,6,,,
465,3,0,3,,,
466,1,1,2,,,
467,8,0,8,,,
468,3,0,3,,,
469,2,0,2,,,
470,7,0,7,,,
471,2,0,2,,,
472,3,0,3,,,
473,17,0,17,,,
474,4,0,4,,,
475,4,0,4,,,
476,8,0,8,,,
477,9,1,10,,,
478,3,0,3,,,
479,4,0,4,,,
480,1,0,1,,,
481,5,0,5,,,
482,5,0,5,,,
483,4,0,4,,,
484,2,0,2,,,
485,4,0,4,,,
486,1,0,1,,,
487,3,0,3,,,
488,1,0,1,,,
489,3,0,3,,,
490,13,0,13,,,
491,2,0,2,,,
492,13,0,13,,,
493,12,0,12,,,
494,2,0,2,,,
495,0,1,1,,,
496,2,0,2,,,
497,4,0,4,,,
498,10,0,10,,,
499,4,0,4,,,
500,4,0,4,,,
501,10,0,10,,,
502,9,0,9,,,
503,7,0,7,,,
504,9,0,9,,,
505,1,0,1,,,
506,3,0,3,,,
507,9,0,9,,,
508,3,0,3,,,
509,2,0,2,,,
510,2,0,2,,,
511,7,0,7,,,
512,13,2,15,,,
513,2,0,2,,,
514,30,0,30,,,
515,6,0,6,,,
516,3,0,3,,,
517,18,0,18,,,
518,3,0,3,,,
519,0,1,1,,,
520,5,0,5,,,
521,4,0,4,,,
522,2,0,2,,,
523,3,0,3,,,
524,12,0,12,,,
525,17,0,17,,,
526,7,0,7,,,
527,22,0,22,,,
528,10,1,11,,,
529,4,0,4,,,
530,5,0,5,,,
531,5,0,5,,,
532,15,0,15,,,
533,1,0,1,,,
534,3,0,3,,,
535,2,0,2,,,
536,4,0,4,,,
537,1,0,1,,,
538,11,0,11,,,
539,3,0,3,,,
540,11,0,11,,,
541,2,0,2,,,
542,2,0,2,,,
543,11,0,11,,,
544,2,0,2,,,
545,7,0,7,,,
546,5,0,5,,,
547,2,2,4,,,
548,1,0,1,,,
549,6,0,6,,,
550,6,0,6,,,
551,1,0,1,,,
552,10,0,10,,,
553,1,0,1,,,
554,9,0,9,,,
555,4,0,4,,,
556,3,1,4,,,
557,1,0,1,,,
558,6,0,6,,,
559,7,0,7,,,
560,8,0,8,,,
561,1,0,1,,,
562,4,0,4,,,
563,10,0,10,,,
564,15,0,15,,,
565,2,0,2,,,
566,12,0,12,,,
567,9,0,9,,,
568,3,0,3,,,
569,9,0,9,,,
570,2,0,2,,,
571,4,0,4,,,
572,7,0,7,,,
573,6,0,6,,,
574,5,0,5,,,
575,4,0,4,,,
576,7,0,7,,,
577,13,0,13,,,
578,8,0,8,,,
579,3,0,3,,,
580,6,0,6,,,
581,1,0,1,,,
582,2,0,2,,,
583,4,0,4,,,
584,7,0,7,,,
585,1,0,1,,,
586,1,0,1,,,
587,3,0,3,,,
588,2,0,2,,,
589,15,0,15,,,
590,3,0,3,,,
591,6,0,6,,,
592,12,0,12,,,
593,1,0,1,,,
594,4,0,4,,,
595,2,0,2,,,
596,8,0,8,,,
597,26,0,26,,,
598,5,0,5,,,
599,4,0,4,,,
600,3,0,3,,,
601,2,0,2,,,
602,4,0,4,,,
603,1,0,1,,,
604,2,0,2,,,
605,3,0,3,,,
606,4,0,4,,,
607,2,0,2,,,
608,4,0,4,,,
609,2,0,2,,,
610,12,0,12,,,
611,4,0,4,,,
612,2,0,2,,,
613,2,0,2,,,
614,1,0,1,,,
615,1,0,1,,,
616,2,0,2,,,
617,2,0,2,,,
618,1,0,1,,,
619,2,0,2,,,
620,1,0,1,,,
621,15,0,15,,,
622,5,0,5,,,
623,2,0,2,,,
624,10,0,10,,,
625,1,0,1,,,
626,1,0,1,,,
627,2,0,2,,,
628,9,0,9,,,
629,7,0,7,,,
630,2,0,2,,,
631,7,0,7,,,
632,5,0,5,,,
633,5,0,5,,,
634,9,0,9,,,
635,5,0,5,,,
636,0,5,5,,,
637,3,1,4,,,
638,3,0,3,,,
639,3,0,3,,,
640,4,0,4,,,
641,2,0,2,,,
642,3,0,3,,,
643,3,0,3,,,
644,14,0,14,,,
645,1,0,1,,,
646,4,0,4,,,
647,12,0,12,,,
648,2,0,2,,,
649,1,0,1,,,
650,13,0,13,,,
651,1,0,1,,,
652,4,0,4,,,
653,6,0,6,,,
654,5,0,5,,,
655,6,0,6,,,
656,5,0,5,,,
657,8,0,8,,,
658,7,0,7,,,
659,3,0,3,,,
660,1,0,1,,,
661,12,0,12,,,
662,1,0,1,,,
663,3,0,3,,,
664,2,0,2,,,
665,1,0,1,,,
666,3,0,3,,,
667,5,0,5,,,
668,2,0,2,,,
669,2,0,2,,,
670,16,0,16,,,
671,5,0,5,,,
672,4,0,4,,,
673,19,0,19,,,
674,5,0,5,,,
675,3,0,3,,,
676,2,0,2,,,
677,1,0,1,,,
678,8,0,8,,,
679,8,0,8,,,
680,3,0,3,,,
681,2,0,2,,,
682,7,0,7,,,
683,2,0,2,,,
684,2,0,2,,,
685,2,0,2,,,
686,10,0,10,,,
687,3,0,3,,,
688,11,0,11,,,
689,6,0,6,,,
690,2,0,2,,,
691,1,0,1,,,
692,1,0,1,,,
693,4,0,4,,,
694,18,0,18,,,
695,5,0,5,,,
696,1,0,1,,,
697,1,0,1,,,
698,4,0,4,,,
699,10,0,10,,,
700,4,0,4,,,
701,2,0,2,,,
702,8,0,8,,,
703,8,0,8,,,
704,4,0,4,,,
705,4,2,6,,,
706,2,0,2,,,
707,3,0,3,,,
708,9,0,9,,,
709,1,0,1,,,
710,2,0,2,,,
711,2,0,2,,,
712,10,1,11,,,
713,4,0,4,,,
714,12,0,12,,,
715,0,1,1,,,
716,1,0,1,,,
717,14,0,14,,,
718,4,0,4,,,
719,8,0,8,,,
720,0,1,1,,,
721,16,1,17,,,
722,4,1,5,,,
723,3,0,3,,,
724,7,4,11,,,
725,0,1,1,,,
726,8,0,8,,,
727,3,0,3,,,
728,1,0,1,,,
729,4,0,4,,,
730,3,0,3,,,
731,2,0,2,,,
732,8,0,8,,,
733,15,0,15,,,
734,6,0,6,,,
735,5,0,5,,,
736,2,0,2,,,
737,17,0,17,,,
738,4,0,4,,,
739,4,0,4,,,
740,3,0,3,,,
741,4,0,4,,,
742,8,0,8,,,
743,2,0,2,,,
744,1,0,1,,,
745,5,0,5,,,
746,4,0,4,,,
747,1,0,1,,,
748,12,0,12,,,
749,4,0,4,,,
750,7,0,7,,,
751,1,0,1,,,
752,2,0,2,,,
753,2,0,2,,,
754,8,0,8,,,
755,2,0,2,,,
756,1,0,1,,,
757,1,0,1,,,
758,3,0,3,,,
759,2,1,3,,,
760,13,1,14,,,
761,4,0,4,,,
762,3,0,3,,,
763,5,0,5,,,
764,2,0,2,,,
765,5,0,5,,,
766,2,0,2,,,
767,1,0,1,,,
768,3,6,9,,,
769,2,0,2,,,
770,2,0,2,,,
771,6,1,7,,,
772,2,1,3,,,
773,1,0,1,,,
774,3,0,3,,,
775,1,0,1,,,
776,1,0,1,,,
777,4,0,4,,,
778,4,0,4,,,
779,2,0,2,,,
780,2,0,2,,,
781,8,0,8,,,
782,7,0,7,,,
783,3,0,3,,,
784,3,0,3,,,
785,13,0,13,,,
786,2,0,2,,,
787,6,0,6,,,
788,4,0,4,,,
789,6,0,6,,,
790,7,0,7,,,
791,1,0,1,,,
792,2,0,2,,,
793,11,0,11,,,
794,2,0,2,,,
795,1,0,1,,,
796,6,2,8,,,
797,2,1,3,,,
798,3,0,3,,,
799,5,0,5,,,
800,2,0,2,,,
